date,portfolio_value,top_k_stocks,turnover,transaction_cost,predicted_mean
2025-02-03,214739.81239405347,"['SAREGAMA', 'WIPRO', 'M&MFIN', 'COFORGE', 'SHRIRAMFIN', 'OFSS', 'VOLTAS', 'BHARTIARTL', 'BAJAJHLDNG', 'TVSMOTOR', 'MAHSCOOTER', 'BAJFINANCE', 'GSPL', 'CUB', 'ECLERX', 'AJANTPHARM', 'BAJAJFINSV', 'SHREECEM', 'CHOLAFIN', 'JINDALSTEL']",1.4,0.009714684,0.03502599522471428
2025-02-10,176252.1239631809,"['UNOMINDA', 'CASTROLIND', 'REDINGTON', 'ASAHIINDIA', 'PIDILITIND', 'BAJAJHLDNG', 'SUNTV', 'KOTAKBANK', 'TECHM', 'KIRLOSENG', 'GODFRYPHLP', 'EMAMILTD', 'SCI', 'HEG', 'DCMSHRIRAM', 'ENGINERSIN', 'PAGEIND', 'COLPAL', 'TIMKEN', 'PATANJALI']",1.9000000000000001,0.013184214000000001,0.018934011459350586
2025-02-17,169859.15850929735,"['AUROPHARMA', 'CONCOR', 'ASTRAL', 'INDHOTEL', 'HINDPETRO', 'CASTROLIND', 'ASAHIINDIA', 'POWERGRID', 'KIRLOSBROS', 'GODFRYPHLP', 'CGPOWER', 'GSPL', 'BALRAMCHIN', 'AJANTPHARM', 'NLCINDIA', 'CESC', 'NAVA', 'GLAXO', 'CEATLTD', 'GODREJIND']",1.7000000000000002,0.011796402000000003,0.08993296325206757
2025-02-24,141291.93766224905,"['SUNPHARMA', 'FEDERALBNK', 'ZYDUSLIFE', 'DRREDDY', 'COFORGE', 'NATCOPHARM', 'PFIZER', 'TVSMOTOR', 'INDIANB', 'KIRLOSENG', 'BERGEPAINT', 'CGPOWER', 'CANFINHOME', 'TORNTPOWER', 'BATAINDIA', 'GLAXO', 'COLPAL', 'TRIVENI', 'UNIONBANK', 'GLENMARK']",1.8,0.012490308,0.041048869490623474
2025-03-04,161406.60917419958,"['VTL', 'CHENNPETRO', 'IOC', 'HINDPETRO', 'OLECTRA', 'ONGC', 'KIRLOSBROS', 'PRAJIND', 'DCMSHRIRAM', 'CERA', 'MRPL', 'FINPIPE', 'NLCINDIA', 'ALOKINDS', 'INDIACEM', 'GMDCLTD', 'BEML', 'RKFORGE', 'CARBORUNIV', 'BLUESTARCO']",2.0,0.01387812,0.13562430441379547
2025-03-11,169879.57209614504,"['SUNPHARMA', 'KSB', 'TATACOMM', 'GRAPHITE', 'BPCL', 'CHENNPETRO', 'HCLTECH', 'CASTROLIND', 'OFSS', 'NAUKRI', 'DLF', 'SUNTV', 'ONGC', 'ICICIBANK', 'PHOENIXLTD', 'GMRAIRPORT', 'ACC', 'PETRONET', 'BAJAJ-AUTO', 'ANANTRAJ']",1.8,0.012490308,0.04012296721339226
2025-03-20,206198.61440449549,"['INFY', 'SAREGAMA', 'HCLTECH', 'BSOFT', 'TCS', 'LTIM', 'BHARTIARTL', 'BRITANNIA', 'TATACONSUM', 'SUNTV', 'JINDALSAW', 'ASTRAZEN', 'PHOENIXLTD', 'SCI', 'ECLERX', 'KEC', 'WELCORP', 'TITAN', 'SONATSOFTW', 'CYIENT']",1.7000000000000002,0.011796402000000003,0.04933743178844452
2025-03-27,165916.91808855458,"['HEROMOTOCO', 'FEDERALBNK', 'JKCEMENT', 'PNB', 'RPOWER', 'IPCALAB', 'THERMAX', 'FORTIS', 'BANKBARODA', 'MAHSCOOTER', 'GSPL', 'GAIL', 'DCMSHRIRAM', 'AKZOINDIA', 'FINPIPE', 'BAJAJFINSV', 'PAGEIND', 'SRF', 'BEML', 'GLENMARK']",2.0,0.01387812,0.07383913546800613
2025-04-04,156906.9685425297,"['INFY', 'HCLTECH', 'MARICO', 'DABUR', 'SHRIRAMFIN', 'MFSL', 'HINDUNILVR', 'PIDILITIND', 'BRITANNIA', 'TATACONSUM', 'ICICIBANK', 'EMAMILTD', 'BAJFINANCE', 'BAJAJFINSV', 'SUNDARMFIN', 'HDFCBANK', 'PGHH', 'ITC', 'COLPAL', 'CHOLAFIN']",1.9000000000000004,0.013184214000000003,0.007320720702409744
2025-04-15,196856.11935154413,"['ASTRAL', 'SUPREMEIND', 'JPPOWER', 'BALKRISIND', 'ELGIEQUIP', 'BAJAJHLDNG', 'NATIONALUM', 'DLF', 'RCF', 'ASTRAZEN', 'SUNDRMFAST', 'PHOENIXLTD', 'HFCL', 'KEC', 'BRIGADE', 'FACT', 'GLAXO', 'BIOCON', 'ANANTRAJ', 'EIDPARRY']",2.0,0.01387812,0.05524776130914688
